all_params,conv_n_params,conv_batch_n_params,linear_batch_n_params,dropout_p,linear_n_params,conv_layers,pool_layers,conv_batch_layers,linear_batch_layers,dropout_layers,linear_layers,time
2967039,85409,0,0,0.4,2881630,9,2,0,0,0,2,15.441
404086,27086,0,0,0.4,377000,8,2,0,0,0,1,3.471
388291,9057,234,0,0.2,379000,6,4,6,0,0,1,3.121
46189,17039,150,0,0.3,29000,5,4,5,0,0,1,5.569
209205,205,0,0,0.3,209000,3,2,0,0,0,1,2.7
1152059,25225,234,1344,0.4,1125256,6,2,6,1,1,2,3.784
15717,1717,0,0,0.3,14000,3,3,0,0,0,1,2.109
187881,18881,0,0,0.2,169000,6,2,0,0,0,1,4.667
1072514,224966,548,0,0.2,847000,8,2,8,0,0,1,8.085
2058726,30278,360,2016,0.4,2026072,7,2,7,1,0,2,3.215
2046254,20182,0,0,0.3,2026072,7,2,0,0,0,2,6.873
688395,15161,234,0,0.3,673000,6,3,6,0,0,1,2.831
24823,4823,0,0,0.3,20000,4,3,0,0,0,1,2.599
29349,9255,94,0,0.3,20000,4,3,4,0,0,1,9.839
83925,6831,94,0,0.4,77000,4,3,4,0,0,1,16.459
318219,1463,0,0,0.3,316756,5,4,0,0,0,2,4.325
17771,3589,0,0,0.4,14182,3,3,0,0,0,2,2.078
89299,6447,0,0,0.2,82852,4,4,0,0,1,2,8.114
273342,20342,0,0,0.4,253000,7,3,0,0,0,1,3.183
54557,1501,56,0,0.2,53000,3,3,3,0,0,1,5.141
39343,10343,0,0,0.2,29000,5,3,0,0,0,1,3.553
40217,10199,150,56,0.4,29812,5,2,5,1,1,2,3.726
212013,3013,0,0,0.4,209000,3,3,0,0,0,1,2.979
1545135,841205,2832,948,0.3,700150,12,2,12,1,1,2,6.628
35675,5863,0,0,0.4,29812,5,4,0,0,0,2,6.566
83925,6831,94,0,0.3,77000,4,4,4,0,0,1,5.424
18365,4309,56,0,0.3,14000,3,2,3,0,0,1,3.167
2316009,59009,0,0,0.4,2257000,9,2,0,0,0,1,4.04
453421,4271,150,0,0.4,449000,5,2,5,0,0,1,5.306
18453,4453,0,0,0.3,14000,3,3,0,0,0,1,2.149
609494,41134,360,0,0.4,568000,7,3,7,0,0,1,3.456
952710,62654,0,0,0.3,890056,7,4,0,0,1,2,14.805
138661,12631,150,224,0.3,125656,5,3,5,1,0,2,3.179
57561,1645,56,104,0.4,55756,3,3,3,1,1,2,2.519
173645,1551,94,0,0.3,172000,4,4,4,0,0,1,4.729
355706,38950,0,0,0.3,316756,7,2,0,0,0,2,3.799
26879,6879,0,0,0.2,20000,4,4,0,0,0,1,7.063
26645,6551,94,0,0.3,20000,4,2,4,0,0,1,3.239
254463,1463,0,0,0.3,253000,5,4,0,0,0,1,2.896
117375,4375,0,0,0.4,113000,5,4,0,0,0,1,3.14
569302,192302,0,0,0.4,377000,8,4,0,0,0,1,8.111
21983,1983,0,0,0.4,20000,4,4,0,0,0,1,3.494
527895,5633,0,0,0.2,522262,6,2,0,0,1,2,2.276
21787,1407,0,0,0.4,20380,4,4,0,0,0,2,2.852
175837,3743,94,0,0.2,172000,4,2,4,0,0,1,3.2
1881504,1165250,4254,0,0.3,712000,13,3,13,0,0,1,6.484
57201,1285,56,104,0.4,55756,3,3,3,1,1,2,3.617
158296,54366,0,0,0.2,103930,8,3,0,0,0,2,8.183
1073990,226990,0,0,0.4,847000,8,2,0,0,0,1,4.043
87427,4575,0,0,0.2,82852,4,3,0,0,1,2,4.57
112862,48502,360,0,0.2,64000,7,2,7,0,0,1,10.957
22541,2447,94,0,0.2,20000,4,4,4,0,0,1,5.209
728454,209702,0,0,0.3,518752,8,2,0,0,0,2,8.151
1078747,866747,0,0,0.4,212000,10,3,0,0,0,1,18.304
17493,3493,0,0,0.3,14000,3,2,0,0,0,1,2.038
276678,23678,0,0,0.3,253000,7,2,0,0,0,1,2.851
71463,26657,0,0,0.3,44806,6,3,0,0,0,2,5.596
2122014,898106,4254,1422,0.3,1218232,13,2,13,1,1,2,13.326
255111,2111,0,0,0.2,253000,5,4,0,0,0,1,9.715
58353,2437,56,104,0.4,55756,3,3,3,1,0,2,3.68
79749,34625,234,84,0.2,44806,6,3,6,1,0,2,12.172
548967,26705,0,0,0.2,522262,6,3,0,0,0,2,13.213
1140683,13849,234,1344,0.2,1125256,6,3,6,1,1,2,11.498
212549,3493,56,0,0.3,209000,3,3,3,0,0,1,10.796
531269,8017,234,756,0.4,522262,6,3,6,1,1,2,12.105
636305,377899,1252,422,0.2,256732,10,2,10,1,1,2,3.438
927814,80814,0,0,0.2,847000,8,3,0,0,0,1,13.526
652385,87385,0,0,0.2,565000,9,2,0,0,0,1,4.984
46593,3593,0,0,0.4,43000,6,4,0,0,0,1,2.594
1166991,848107,1884,0,0.3,317000,11,2,11,0,0,1,10.293
177399,5399,0,0,0.2,172000,4,4,0,0,0,1,3.766
127879,14879,0,0,0.4,113000,5,3,0,0,0,1,7.401
881998,34998,0,0,0.3,847000,8,3,0,0,0,1,2.475
176575,4575,0,0,0.2,172000,4,3,0,0,0,1,2.881
18309,4309,0,0,0.4,14000,3,3,0,0,0,1,4.331
279030,26030,0,0,0.4,253000,7,3,0,0,0,1,2.713
119141,1141,0,0,0.3,118000,3,2,0,0,0,1,2.694
240899,42937,234,336,0.4,197392,6,4,6,1,1,2,5.452
652695,2543,0,0,0.4,650152,5,4,0,0,0,2,3.294
56945,1189,0,0,0.2,55756,3,3,0,0,0,2,2.625
308600,203934,548,188,0.3,103930,8,4,8,1,1,2,4.967
260111,7111,0,0,0.4,253000,5,4,0,0,0,1,14.636
268239,15239,0,0,0.3,253000,5,3,0,0,0,1,13.119
27477,7383,94,0,0.2,20000,4,4,4,0,0,1,10.742
54701,1645,56,0,0.3,53000,3,3,3,0,0,1,2.535
29059,8679,0,0,0.4,20380,4,3,0,0,0,2,8.107
88497,5399,94,152,0.2,82852,4,2,4,1,1,2,2.659
28496959,26887375,9584,0,0.4,1600000,15,2,15,0,0,1,89.357
1155777,30521,0,0,0.2,1125256,6,2,0,0,0,2,2.467
1150761,25505,0,0,0.4,1125256,6,2,0,0,1,2,10.901
32839,3839,0,0,0.3,29000,5,4,0,0,0,1,12.389
